Date,Time,Operator,Flight,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passengers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary,Location,Latitude,Longitude,geometry
9/27/2003,18:57,Les Ailes de Gaspé Inc.,,Gaspé - Îles-de-la-Madeleine,Piper PA31-310,C-FARL,31306,3,2,1,3,2,1,0,"Cashed as it approached Gaspé in fog and low ceiling. The pilot descended to the minimum descent altitude (MDA) without being established on the localizer track, thereby placing himself in a precarious situation with respect to the approach and to obstruction clearance. On an instrument approach, the pilot continued his descent below the MDA without having the visual references required to continue the landing, and he was a victim of CFIT (controlled flight into terrain).","Gaspé, Quebec, Canada",48.6580556,-65.7527778,POINT (48.6580556 -65.75277779999999)
10/3/2003,,Air taxi - Rumo Notre Air Taxi,,Sao Gabriel de Cachoeria - Yauarete,EMB 721C Sertanejo,PT-EBK,,4,3,1,4,3,1,0,"The plane disappeared shortly after taking off. Wreckage was found at  2 miles south of Gabriel’s runaway,  in the Amazon forest, 2 days later.  Mechanical failure after the takoff.  Remote area without ATC or radar.",Sao Gabriel de Cachoeria,-30.336423,-54.321876,POINT (-30.336423 -54.321876)
10/3/2003,21:25,Air Freight New Zealand,642,Christchurch - Palmerston North,Convair CV-580F,ZK-KFU,17,2,0,2,2,0,2,0,"While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons.","Waikanae, New Zealand",-40.8758432,175.0643045,POINT (-40.87584320000001 175.0643045)
10/11/2003,16:00,Transmandu,,,Antonov AN-2TP,YV-1128C,1G238-12,2,0,2,1,0,1,0,Crashed into the Caroni River shortly after taking off.,"Uriman, Venezuela",5.3566832,-62.6698029,POINT (5.3566832 -62.6698029)
10/26/2003,4:31,CATA Linea Aerea,760,,Fairchild Hiller FH-227B,LV-MGV,567,5,0,5,5,0,5,0,Three minutes after taking off from Buenos Aires Airport the crew reported a technical problem and asked to turn around. They were cleared to land on Runway 17 but crashed 30 km southwest of Buenos Aires.,"Buenos Aires, Argentina",-34.6075682,-58.4370894,POINT (-34.6075682 -58.4370894)
10/27/2003,8:08,Aeroextra,,Tampico - Las Potrancas Ranch Airstrip,Hawker 800A,XA-ISH,258036,3,0,3,3,0,3,0,"While on approach on a positioning flight,  in poor weather, the crew decided to go-around turned left and struck a 1,600 ft. hill.","Tampico, Mexico",22.2329889,-97.8614802,POINT (22.2329889 -97.8614802)
10/29/2003,8:51,FedEx,8773,Casper - Cody,Cessna 208B Caravan I Super Cargomaster,N791FE,208-0289,1,0,1,1,0,1,0,"While on approach after an 18 minute holding pattern the cargo plane crashed in a snowstorm on a highway  before coming to rest in Alkali Lake located short of runway. The pilot's failure to maintain aircraft control. Contributing factors include the pilot's failure to divert to an alternate airport, an inadvertent stall, and the snow and icing conditions.","Cody, Wyoming",44.5263107,-109.0563923,POINT (44.5263107 -109.0563923)
11/2/2003,9:00,Military - U.S. Army,-,Fallujah - Baghdad,CH-47 Chinook,,,36,34,2,15,15,0,0,The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.,"Hasi, Iraq",31.17906,45.734159,POINT (31.17906 45.73415900000001)
11/8/2003,10:26,Heliwork WA Pty Ltd. - Air Taxi,,,Robertson R44 helicopter,VH-YKL,170,4,3,1,4,3,1,0,The helicopter crashed in the remote outback after colliding with terrain. The helicopter was destroyed in the post crash fire. Visual meteorological conditions prevailed at the time of the accident.,"200 miles NE of Derby, Australia",-36.65,144.01667,POINT (-36.65 144.01667)
11/8/2003,10:59,Trans Guyana Airways,,"Ogle, Guyana - Ekereku, Guyana",Shorts SC-7 Skyvan 3M Variant 100,8R-GMC,SH-1959,7,4,3,2,1,1,0,The right engine failed one minute after takeoff. The pilot declared an emergency and made a forced landing in a cane field. The plane hit a ridge and slid approximately 100 ft. before coming to rest. A flight attendant and one passenger received fatal injuries.,"Ogle, Guyana",6.8186413,-58.1019387,POINT (6.8186413 -58.1019387)
11/15/2003,18:30,Military - U.S. Army,,,UH-60 Black Hawk / UH-60 Black Hawk,? / ?,,22,18,4,17,13,4,0,A midair collision occurred between two Black Hawk helicopters. One helicopter was climbing to avoid gunfire when it's rotor struck the other.,"Mosul, Iraq",36.34369405,43.0997156,POINT (36.34369405 43.09971559730229)
11/29/2003,8:01,Ameriflight,1996,Seattle - Spokane,Swearingen SA227AT Merlin IVC,N439AF,AT-439B,1,0,1,1,0,1,0,"The cargo plane struck trees one mile short of the runway. The pilot-in-command's failure to maintain proper glidepath alignment during an ILS approach in poor weather resulting in collision with trees and terrain. Contributing factors were the unreliable status of the primary (NAV 1) ILS receiver (leaving the pilot with only the secondary (NAV 2) ILS receiver), the low ceilings and trees.","Spokane, Washington",47.6571934,-117.4235106,POINT (47.6571934 -117.4235106)
11/29/2003,15:20,Military - Congolese Air Force,,"Boende, Congo - Kinshasa, Congo",Antonov AN-26,9T-TAD,,24,18,6,20,14,6,13,The aircraft suffered a blowout of a tire while taking off for the second time after aborting the first takeoff. The pilot was not able to stop the aircraft and overran the runway and crashed into a small market square,"Boende, Congo",-4.3794961,15.2654902,POINT (-4.3794961 15.2654902)
12/16/2003,12:00,Huron Air,,,de Havilland DHC-3 Otter,C-GOFF,65,3,2,1,2,1,1,0,Crashed into Blackwater Lake shortly after taking off from a remote landing strip.,"Jellicoe, Ontario, Canada",49.683333,-87.516667,POINT (49.68333300000001 -87.516667)
12/18/2003,22:00,Líneas Aéreas Suramericanas,,El Yopal - Mitu,Douglas DC-9-15F,HK-4246X,47062,3,0,3,3,0,3,0,"While on approach to , the cargo plane obtained the authorization to descend from 23,000 to 7,000 ft. but  disappeared from radar screen when it struck a mountain. Wreckage was found 5 days later.","Mitu, Colombia",1.2523268,-70.2308883,POINT (1.2523268 -70.23088829999999)
12/23/2003,9:13,Pavair,,"Chino,CA - Sun Valley, ID",Gates Learjet 24B,N600XJ,24B-190,2,0,2,2,0,2,0,"While en route and cruising at 24,000 ft. the crew of the cargo plane declared an emergency and tried to return to Chino Airport but the aircraft suddenly nose dived and crashed into the Mojave Desert. A loss of airplane control for undetermined reasons.","Helendale, California",34.7438754,-117.324492,POINT (34.74387539999999 -117.324492)
12/25/2003,14:55,Union des Transports Aeriens de Guinee,141,"Conakry, Guinea - Cotonou, Benin - Beirut, Lebanon",Boeing B-727-223,3X-GDO,21370/1276,161,151,10,140,132,8,0,"The B-727 was barely able to climb after taking off from Cotonou Airport. The landing gear struck a building housing electronics, crashed through the barrier fence and broke up along the shoreline adjacent to the airport. The plane was overloaded by 10 tons of cargo which was improperly distributed. The pilot was tried, convicted and sentenced to 20 years in jail by a Lebanese court.","Cotonou, Benin",6.3676953,2.4252507,POINT (6.3676953 2.4252507)
1/3/2004,4:44,Flash Air,604,"Sharm el Sheikh, Egypt - Cairo, Egypt",Boeing B-737-3Q8,SU-ZCF,26283/2383,148,135,13,148,135,13,0,"Shortly after taking off,  the aircraft crashed into the Red Sea, 7 miles south of the airport. There were mostly French tourists on board heading home from the holidays. Possibly, the pilot suffered spatial disorientation and the copilot was unwilling to challenge his more experienced superior, however, no decisive cause was ever found.","Sharm el Sheikh, Egypt",27.8669082,34.3014551,POINT (27.8669082 34.30145510000001)
1/13/2004,19:40,Uzbekistan Airways,1154,Termez - Tashkent,Yakovlev YAK-40,UK-87985,9540844,37,32,5,37,32,5,0,"Crashed while attempting to land in heavy fog. The aircraft struck a stanchion of approach lights and flipped over, hitting the outside of a wall surrounding the landing area. Crew error.","Tashkent, Uzbekistan",41.3123363,69.2787079,POINT (41.3123363 69.2787079)
2/6/2004,8:01,Military - Government of Macedonia,,Skopje - Mostar,Beechcraft Super King Air 200,Z3-BAB,BB-652,9,7,2,9,7,2,0,"The twin engine aircraft crashed in the southern mountains of Bosnia in poor weather conditions, minutes away from landing at Mostar. Macedonian president, Boris Trajkovski, 47, killed along with 6 aids. Pilot error. The two-man crew misinterpreted crucial flight data in stormy weather.","Banja Luka, Bosnia-Herzegovina",44.7741181,17.1961532,POINT (44.7741181 17.1961532)
2/10/2004,11:40,Kish Airlines,1770,Kish Island - Sharjah,Fokker F-50,EP-LCA,20273,46,40,6,43,37,6,0,"The aircraft crashed on approach, 2 miles short of the runway while attempting an emergency landing at Sharjah. The plane crashed midway between two residential compounds. The flight data recorder showed that the two engines went into reverse 10 seconds before the accident.","Sharjah, United Arab Emirates",25.3585432,55.3895321,POINT (25.3585432 55.3895321)
3/4/2004,9:40,Azov Avia Airlines,,Ankara - Baku - Kabul,Ilyushin II-76,UR-ZVA,63468036,7,0,7,3,0,3,0,"Shortly after taking off and climbing to about 150 feet, the aircraft pitch down and crashed into a field 4 km from the airport.","Bakou, Azerbaijan Bakou, Azerbaijan",40.3754434,49.8326748,POINT (40.3754434 49.8326748)
3/16/2004,4:01,Military - United States Air Force,,,Beechcraft 1900C,N27RA,UB-37,5,4,1,5,4,1,0,While on approach and during a turn the pilot suffered a sudden cardiac death. Half way through the turn the airplane began a gradual descent until it impacted the ground. The airplane broke up and burst into flames. The pilot willfully deceived flight medical examiners and suppressed medical information and ingested inappropriate medications for a deteriorating and dangerous health condition.,"Tonopah, Nevada",38.0681008,-117.2309499,POINT (38.0681008 -117.2309499)
3/21/2004,2:20,Air Ambulance - Med-Trans Corp.,,"Odessa, TX - Lubbock, TX",Bell 407,N502MT,53549,5,4,1,4,3,1,0,"The helicopter impacted terrain while maneuvering in reduced visibility conditions. The pilot's inadvertent encounter with adverse weather, which resulted in the pilot failing to maintain terrain clearance. Contributing factors were the dark night conditions, the pilot's inadequate preflight preparation and planning, and the pressure to complete the mission induced by the pilot as a result of the nature of the EMS mission.","Pyote, Texas",31.5366066,-103.1261912,POINT (31.5366066 -103.1261912)
5/2/2004,16:00,Procuradoria General de la Republica,,Ciudad Juarez - Mexico City,Rockwell Gulfstream Jetprop 840,  XC-JEH,11678,7,5,2,7,5,2,0,"The aircraft crashed and was destroyed following a loss of control while en route at cruise altitude at 23,000 ft. after encountering unfavorable weather conditions.","Milpillas, Mexico",31.1090885,-110.4500836,POINT (31.1090885 -110.4500836)
5/5/2004,13:00,Aerotransportes Petroleros,,Bogota - Carepa,Swearingen SA227AC Metro III,HK-4275,AC-676,7,5,2,3,1,2,0,While on approach the plane hit the ground 300 ft. short of the runway.,"Carepa, Colombia",7.7977584,-76.74551462,POINT (7.7977584 -76.7455146179126)
5/6/2004,15:00,Charter - Air Cush,,Jiech - Ayod,Let 410UVP,9XR-DC,,10,8,2,6,5,1,0,"The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash.","Jiech, Sudan",-7.70444,110.53083,POINT (-7.704439999999999 110.53083)
5/11/2004,,El Magal Aviation,,Khartoum - Juba - El Obeid,Antonov AN-12,ST-SIG,1400101,7,0,7,7,0,7,0,While flying in a thunderstorm the plane hit the side of a mountain. One survivor died a few hours after the accident.,"Dalang, Sudan",12.05,29.65,POINT (12.05 29.65)
5/14/2004,18:30,Rico Linhas Aereas,4815,Sao Paulo - Tefe - Manaus,Embraer 120ER Brasilia,PT-WRO,120070,33,30,3,33,30,3,0,"The plane dropped off radar at Manaus' Eduardo Gomes International Airport about 10 miles from the runway after it suspended landing procedures to allow another plane carrying sick people on the way to a hospital to land. The plane crashed in dense jungle, making it difficult for rescue crews to reach the wreckage.","Manaus, Brazil",-3.1316333,-59.9825041,POINT (-3.1316333 -59.9825041)
5/18/2004,10:50,AZAL Cargo Company,,Taiyuan - Urumqi - Baku,Ilyushin II-76TD,4K-AZ27,53460827,7,0,7,7,0,7,0,"About two minutes after takeoff and  while climbing, the aircraft stalled and crashed in a field 10 km from the  airport.","Urumqi, China",43.419754,87.319461,POINT (43.419754 87.319461)
5/18/2004,10:40,Aray-Avia,,Kyzyl-Orda - Bozoy - Vozrozhdenya Island,PZL-Mielec AN-2R,UN-70276,1G139-35,12,10,2,1,1,0,0,Crashed and stalled near the end of the runway while attempting to take off. The aircraft was overloaded.,"Bozoy, Kazakhstan",41.34917,68.03337,POINT (41.34917 68.03336999999999)
5/23/2004,7:30,Blue Bird Aviation,,Nairobi - Mogadiscio,Let 410UVP,5Y-VVD,872009,2,0,2,2,0,2,0,While en route the cargo plane collided with another Let 410 of the same operator. The first aircraft crashed killing both pilots while the second  made a safe landing.,"Mwingi, Kenya",-0.9333,38.0666,POINT (-0.9333 38.0666)
5/25/2004,13:56,Yeti Airlines,117,Katmandou - Lukla,de Havilland DHC-6 Twin Otter 300,9N-AFD,651,3,0,3,3,0,3,0,"While on approach to Lukla, the cargo plane crashed into Lamjura Hill in heavy cloud cover. Hazardous behavior and attitudes of the captain such as over-confidence, being care-free, and non-compliance of the regulations caused the accident.","Lukla, Nepal",27.688947,86.7307482,POINT (27.688947 86.73074820000002)
6/8/2004,9:38,Gabon Express,221,Libreville - Franceville,BAe HS-748-232 Srs 2A,TR-LFW,1611/82,30,26,4,19,18,1,0,The aircraft nosedived into the sea about 100 meters off a beach shortly after taking off from Leon Mba international airport. Engine failure forced the plane back towards the airport.,"Libreville, Gabon",0.390002,9.454001,POINT (0.390002 9.454001)
6/28/2004,9:17,United Nations -  UTair Charter,,Freetown - Kailahun,Mi-8MTV-1,RA-27113,,24,21,3,24,21,3,0,The helicopter crashed into a slope of a mountain in a forested area. The helicopter took off from the Sierra Leone capital but never arrived at its destination in the western city of Kailahun.,"Yengema, Sierra Leone",7.8252287,-12.0140828,POINT (7.825228699999998 -12.0140828)
7/12/2004,7:15,Dodita Air Cargo,,San Juan - Saint Martten,Convair CV-440,N4826C,391,2,0,2,1,0,1,0,"While en route the cargo plane experienced a fire in the right engine which led to a ditching of the plane. The plane sank in 1,000 ft. of water the copilot was rescued but the captain was never found.","Beef Island, British Virgin Islands",18.4394815,-64.5233668,POINT (18.4394815 -64.5233668044709)
7/22/2004,8:30,BHS - Brazilian Helicopter Service  Air Taxi,,"Campos, Brazil  -  Off-shore oil rig",Sikorsky S 76,PP-MYM,,11,9,2,6,6,0,0,"During the approach to P-31 oil rig, at an altitude of 500 ft, an alarm sounded for the left turbine after which there was a loud noise. Then the main rotor and right turbine lost rotation and the helicopter crashed in the sea.","Macaé , Rio de Janeiro , Brazil",-22.3712958,-41.7866922,POINT (-22.3712958 -41.78669220000001)
7/29/2004,10:30,Airlines of PNG,,Port Moresby - Ononge,de Havilland DHC-6 Twin Otter 300,P2-MBA,353,3,0,3,2,0,2,0,The cargo plane diverted to Yongai airport because of bad weather but collided with trees and crashed.The loadmaster was rescued a day later.,"Ononge, Papua New Guinea",-8.57227,147.25028,POINT (-8.57227 147.25028)
8/13/2004,0:50,Air Taroma,185,Memphis - Cincinnati,Convair CV-580,N586P,68,2,0,2,1,0,1,0,"While on approach at night,, the crew reported engine trouble. Shortly after the aircraft crashed on a golf course short of Runway 36R. Fuel starvation resulting from the captain's decision not to follow approved fuel crossfeed procedures. Contributing to the accident were the captain's inadequate preflight planning, his subsequent distraction during the flight, and contributing to the accident was the flightcrew's failure to monitor the fuel gauges and to recognize that the airplane's changing handling characteristics were caused by a fuel imbalance.","Cincinnati, Ohio",39.1014537,-84.5124602,POINT (39.1014537 -84.51246020000001)
8/21/2004,16:28,Military - Venezuelan Air Force,,La Orchila Air Base - Maracay,Shorts 360,FAV-1652,SH3123,25,22,3,25,22,3,0,"Air traffic controllers lost contact with the plane as it was returning from the Caribbean island of La Orchila and descending through 9,500 ft. The plane crashed in a mountainous region of northeastern Venezuela in thunderstorms. The plane was carrying a mixture of military and civilian passengers.","Maracay, Venezuela",10.2513662,-67.6017245,POINT (10.2513662 -67.6017245)
8/24/2004,22:59,Sibir Airlines,1047,Moscow - Sochi,Tupolev 154B-2,RA-85556,82A-556,46,38,8,46,38,8,0,The plane crashed 19 minutes after taking off from Moscow. It crashed almost simultaneously with a Volga-Avia Express Tupolov134 which crashed at 22:56. Detonation of an exposive device aboard.,"Rostov-on-Don, Russia",47.2213858,39.7114196,POINT (47.22138579999999 39.7114196)
8/24/2004,22:56,Volga-Avia Express,1303,Moscow - Volograd,Tupolev 134A-3,RA-65080,60065,41,34,7,41,34,7,0,The plane crashed 26 minutes after taking off from Moscow. Witnesses stated they saw the plane explode in midair before crashing. It crashed almost simultaneously with a Sibir Tupolov154 which crashed at 22:59. Detonation of an exposive device aboard.,"Toula, Russia",54.1930321,37.61754,POINT (54.1930321 37.61754000000001)
8/27/2004,16:30,Mavrik Aire Transport,,Kenai - McGrath - Kotzebue,de Havilland DHC-3 Otter,N197TT,197,3,2,1,1,1,0,0,"Thirty minutes after departure from McGrath, the pilot encountered low visibility due to smoke and fog. After deciding to fly at a lower altitude, the aircraft struck trees and crashed into a forest. Rescue teams found the bodies and the survivors 2 days later. The pilot's inadequate in-flight planning/decision making, his continued VFR flight into instrument meteorological conditions, and his failure to maintain obstacle clearance. Factors contributing to the accident were low ceilings due to smoke, rain, and mist.","Mc Grath, Alaska",52.678329,-7.814769,POINT (52.67832900000001 -7.814769)
9/9/2004,6:50,Jett Paqueteria SA,,Mexico City - Villahermosa,Rockwell CT-39A Sabreliner,XA-TFD,265-10,2,0,2,2,0,2,0,On final approach the cargo flight crashed in a wooded area 3 km from the runway and was destroyed.,"Villahermosa, Mexico",18.0018152,-92.93304015,POINT (18.0018152 -92.93304014837507)
9/11/2004,11:10,Military - Greek Army,,Athens - Mount Athos,CH-47D Chinook,,,17,13,4,17,13,4,0,"The helicopter crashed into the Aegean Sea, 5.5 nautical miles off Halkidiki peninsula.  Patriarch Petros VII of Alexandria , Egypt, spiritual leader of orthodox Christians throughout Africa, killed along with other clergy.","Mount Athos, Greece",40.1584206,24.3272583,POINT (40.1584206 24.3272583)
9/29/2004,18:59,Air Flamence,,Mayaguez - San Juan,Pilatus-Britten Norman BN-2A-27 Islander,N902GD,905,1,0,1,1,0,1,0,"The cargo plane hit a heavy rain shower before losing control and crashing into Toruuguero lagoon. The pilot's improper inflight planning which resulted in an inflight encounter with weather (low ceilings and thunderstorms), his loss of aircraft control, and an inflight collision with the ocean during uncontrolled descent.","Tortuguero lagoon, Puerto Rico",18.4603344,-66.4254747,POINT (18.4603344 -66.4254747)
10/5/2004,12:37,Sarit Airlines,,El Obeid - Juba,Antonov AN-12,ST-SAF,347606,4,0,4,4,0,4,0,The cargo plane reported an engine failure and tried to divert to the nearest airport but crashed and burned in a wooded area about 50 km from Kaduqli.,"Kaduqli, Sudan",11.0085934,29.7155751,POINT (11.0085934 29.7155751)
10/14/2004,22:15,Pinnacle Airlines/Northwest Airlink,3701,Little Rock - Minneapolis,Canadair CRJ200LR RegionalJet,N8396A,10161,2,0,2,2,0,2,0,"On a night repositioning flight, while en route, the stick shaker activated several times before the plane entered a aerodynamic stall. Almost simultaneously both engines stopped. The crew declared an emergency but the plane did not make the airport, crashed and broke up. PC:  The pilots' unprofessional behavior, deviation from standard operating procedures, and poor airmanship, which resulted in an in-flight emergency from which they were unable to recover, in part because of the pilots' inadequate training The pilots' failure to prepare for an emergency landing in a timely manner, including communicating with air traffic controllers immediately after the emergency about the loss of both engines and the availability of landing sites and the pilots' failure to achieve and maintain the target airspeed in the double engine failure checklist, which caused the engine cores to stop rotating and resulted in the core lock engine condition. Contributing to this accident was the engine core lock condition, which prevented at least one engine from being restarted, and the airplane flight manuals that did not communicate to pilots the importance of maintaining a minimum airspeed to keep the engine cores rotating.","Jefferson City, Missouri",38.577359,-92.1724265,POINT (38.577359 -92.1724265)
10/14/2004,3:56,MK Airlines,1602,"Windsor Locks - Halifax - Zaragoza, Spain",Boeing 747-244B-SF,9G-MKJ,22170,7,0,7,7,0,7,0,"The cargo plane did not gain altitude and ran off the end of the runway and crashed into a forest. The aircraft's lower aft fuselage struck a berm supporting a localizer antenna, resulting in the tail separating from the aircraft, rendering the aircraft uncontrollable. The incorrect V speeds and thrust setting were too low to enable the aircraft to take off safely for the actual weight of the aircraft. The pilots of MKA1602 did not carry out the gross error check in accordance with the company's standard operating procedures (SOPs), and the incorrect take-off performance data were not detected. Crew fatigue.","Halifax, Nova Scotia, Canada",44.648618,-63.5859487,POINT (44.648618 -63.58594870000001)
10/15/2004,7:46,Aerovanguardia,,Villavicencio - Medellin,Douglas DC-3C,HK-1503,34331,3,0,3,3,0,3,0,"During descent in poor weather, the cargo plane struck a mountain near the airport.","Medellin, Colombia",6.2443382,-75.573553,POINT (6.244338200000001 -75.573553)
10/16/2004,15:00,Pacific Air,,Coron Island - Manila,Pilatus Britten-Norman BN-2A-21 Islander,RP-C1325,593,2,0,2,2,0,2,0,"A few minutes after takeoff, the cargo plane struck the side Tagbao mountain a few  kilometers from the airport.","Coron Island, Philippines",11.8973908,120.2384947,POINT (11.8973908 120.238494672717)
10/19/2004,7:45,Corporate Airlines (American Connection),5966,"St. Louis, MO - Kirkville, MO",Bae Jetstream 3201,N875JX,875,15,13,2,13,11,2,0,"The turboprop crashed 4 miles south of Kirksville while on approach to Kirksville Municipal Airport. The plane clipped tree tops before crashing on its belly into a wooded area. Data show the plane descending then climbing slightly in the last four seconds before impact. The plane lacked a modern terrain warning system which would have been required equipment the next year. The pilots' failure to follow established procedures and properly conduct a nonprecision instrument approach at night in instrument meteorological conditions, including their descent below the minimum descent altitude before required visual cues were available (which continued unmoderated until the airplane struck the trees) and their failure to adhere to the established division of duties between the flying and nonflying pilots. Contributing to the accident were the pilots' failure to make standard callouts and the current Federal Aviation Regulations that allow pilots to descend below the MDA into a region in which safe obstacle clearance is not assured based upon seeing the airport approach lights. The pilots' failure to establish and maintain a professional demeanor during the flight and their fatigue likely contributed to their degraded performance.","Kirksville, Missouri",40.1948848,-92.5833939,POINT (40.1948848 -92.5833939)
10/24/2004,16:30,Private - Hendrick Motorsports Inc.,,"Concord, NC - Martinsville, VA",Beech 200 Super King Air,N501RH,BB-805,10,8,2,10,8,2,0,"The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach.","Martinsville, Virginia",36.6915262,-79.8725386,POINT (36.69152620000001 -79.8725386)
10/24/2004,0:30,Med Flight Air Ambulance - Private,,"San Diego, CA - Albuquerque, NM",Learjet 35A,N30DK,35A-345,5,4,1,5,4,1,0,"Two minutes after taking off, the air ambulance crashed into Otay peak,  in an isolated area of mountains, 8 miles east of Brown Field Municipal Airport. Dark night visual conditions prevailed. The controller's Minimum Safe Altitude Warning System issued and alert during the last two radar returns. The air traffic controller failed to alert the crew to altitude warnings as the plane was on track to fly into a mountain. The controller identified the airplane on the radar screen and instructed crew members to expect clearance above 5,000 feet, but then issued a heading that resulted in a flight track directly into the mountains. The mountain is at 3,556 feet altitude. Also, the flight crew did not follow the recommended departure procedures for taking off at night and in mountainous terrain. Failure of the flightcrew to maintain terrain clearance during a VFR departure, which resulted in controlled flight into terrain, and the air traffic controller's issuance of a clearance that transferred the responsibility for terrain clearance from the fllightcrew to the controller. The controller's failure to provide terrain clearance instructions to the flightcrew, and failure to advise the flightcrew of minimum safe altitude warning alerts. Contributing to the accident was the pilots' fatigue which likely contributed to their degraded decision making.","San Diego, California",32.7174209,-117.1627714,POINT (32.7174209 -117.1627714)
11/18/2004,13:02,Venezolana,213,El Vigia - Caracas,BAe 3101 Jetstream 31,YV-1083C,762,21,19,2,3,3,0,0,"The aircraft was arriving on runway 09 at Simon Bolivar Airport when it departed the right side of the runway and cashed into the airport fire house. Weather at the time of the accident was poor, with low ceiling and torrential rain.","Caracas, Venezuela",10.506098,-66.9146017,POINT (10.506098 -66.91460170000001)
11/21/2004,8:20,China Eastern Airlines,,Baotou - Shanghai,Bombardier CRJ200,B-3072,7697,53,47,6,53,47,6,0,"The aircraft crashed into a frozen lake in Nanhai Park, 10 seconds after taking off. Ice pollution of the wings of the aircraft led to the accident. Failure to deice the plane.","Baotou, Inner Mongolia, China",40.6549157,109.8344586,POINT (40.6549157 109.8344586)
11/22/2004,6:15,Business Jet Services,,Dallas - Houston,Grumman Gulfstream G3,N85VT,449,3,0,3,3,0,3,0,"While on final approach, the aircraft struck a light pole located 1.5 mile short of Runway 04 in thick fog and crashed in a nearby field. The flight crew's failure to adequately monitor and cross check the flight instruments during the approach. Contributing to the accident was the flight crew's failure to select the instrument landing system frequency in a timely manner and to adhere to approved company approach procedures, including the stabilized approach criteria.","Houston, Texas",29.7589382,-95.3676974,POINT (29.7589382 -95.36769740000001)
11/27/2004,8:20,Presidental Airways Inc. - Air Taxi,,"Bagram - Farah, Afghanstan",CASA 212-CC,N960BW,231,6,3,3,6,3,3,0,"Crashed into a mountain 80 miles west of Bagram while en route. The wreckage site was located a the 14,000 ft. level of a 16,739 ft. mountain. The crew deliberately avoided the standard route and took a joy ride in another direction, eventually becoming trapped in a canyon and slamming into a mountainside.","Bagram, Afghanstan",34.9333734,69.2341077,POINT (34.9333734 69.23410770000001)
11/28/2004,9:55,Glow Air/Air Castle - Charter,73,"Montrose, CO - South Bend, IN",Canadair CL-601-2A12 Challenger,N873G,3009,6,3,3,3,1,2,0,"While attempting to take off from R31, the aircraft skidded sideways off the runway and went through a perimeter fence, ripping the cockpit from the fuselage and bursting into flames. There was light snow falling with fog and reduced visibility at the time of the accident.  Also, the pilot chose to take off from a 7,500 ft. runway rather than wait for the 10,000 ft. runway to be plowed. The youngest son of NBC sports chairman Dick Ebersol and actress Susan Saint James killed. St. James had just exited the accident vehicle before it took off. The flightcrew's failure to ensure that the airplane's wings were free of ice or snow contamination that accumulated while the airplane was on the ground, which resulted in an attempted takeoff with upper wing contamination that induced the a subsequent stall and collision with the ground. A factor contributing to the accident was the pilots' lack of experience flying during winter weather conditions.","Montrose, Colorado",38.4375391,-108.2403855,POINT (38.4375391 -108.2403855)
11/30/2004,18:14,Lion Air,583,"Jakarta, Indonesia - Solo, Indonesia",McDonnell-Douglas MD-82,PK-LMN,49189/1173,163,156,7,25,23,2,0,"While attempting to land, the plane overran the runway and crashed through the airport barrier fence, into a rice field, broke in two and  came to rest at a cemetery, 300 meters beyond the runway. Bad weather and a malfunctioning spoiler may have caused the crash.","Solo, Indonesia",-7.5692462,110.828448,POINT (-7.5692462 110.828448)
12/10/2004,,Guardia Nacional de Venezuela,,Puerto Ayacucho - La Carlota,PZL-Mielec M28,GN-97121,AJE001-15,16,13,3,16,13,3,0,Crashed while en route in mountainous terrain.,"El Junquito, Venezuela",10.4614338,-67.0806217,POINT (10.4614338 -67.08062170000001)
12/11/2004,5:30,NHR Táxi-Aéreo,,Sao Paulo - Uberaba,Embraer EMB-110 Bandeirante,PT-WAK,110071,2,0,2,2,0,2,1,"The crew was performing a mail flight under Total Linhas Aéreas from Sao Paulo-Guarulhos airport to Uberaba. While on final approach at night, the cargo plane crashed into houses located short of runway and burned.","Uberaba, Brazil",-19.750833,-47.936666,POINT (-19.750833 -47.936666)
12/11/2004,,Airline Transport,,Baku - Kabul,Ilyushin II-76TD,ER-IBW,33448390,7,0,7,1,0,1,0,A forward emergency exit opened in flight causing one of the crew members to be sucked out. An emergency landing was made in Jeddah.,"Jeddah, Saudi Arabia",21.5810088,39.1653612,POINT (21.58100880000001 39.1653612)
1/13/2005,16:10,Tura Air Enterprise,,Vanavara - Tura,Antonov AN-2,RA-62597,1G177-44,9,7,2,9,7,2,0,The aircraft disappeared from radar as it was attempting to land. It crashed into a hill 6 miles from its destination. Poor weather conditions existed at the time of the accident. Crew error. Ground proximity warning disabled. Artificial horizon not working.,"Tura,Siberia, Russia",64.2741955,100.2169635,POINT (64.27419549999999 100.2169635)
